cXUEBTiY5fSgdH4S9T,-554.47524506216,-234.19472833135478,BRIT_POP,19,24,nFmEhvjg4zPqWVK,lbkEL,59,865800.9811129154,8,2019-11-28,699.3068550986252
a5Z5 zVlU4rI18iQ0XX,583.9911753869171,-344.34918203392465,ROCK,60,35,wRmI O99C8tbjKS8IE6DuS0BCd1jnDM0VcIrEjUlKxa4,LADwcBXE,13,358345.32798441866,2,2006-02-01,787.4276553659167
GOPVMCFr,300.45886320486557,781.3951679376721,PUNK_ROCK,8,36,aY117oP2mERHH28XciDrPF4E,jKykumR0 5Xs,15,488696.5709976696,3,2014-03-13,20.491807546834995
fCvCbCZ0 r7vcWBNP,48.72719046728923,217.44397582732313,ROCK,98,39,yibsivoKK7pXHzKSob4l,eW4I1EjejZD,8,380029.8500754118,14,2005-07-19,73.19183348975056
grHysnW29CfU2ewjoY,594.5153528235887,-192.43721601434243,JAZZ,28,, 4W0ICDZUFmjngeuN6KapOpu6icnzOpx8BImXlV,7CDJhN11H 8DhRZW41qPB7N,25,919434.0360074509,3,2010-08-05,621.9451246006473
rmkp 4gf FZl,-571.5002813955412,-115.44780868338705,BRIT_POP,99,48,3JhtgkNpOky9LAcHHO0Hixhhp7A0mGaWkBv6U MUwAR,8evjZbvJ1,22,917998.3659258941,14,2006-11-27,98.45864216417021
xLM4gRlw0rA3ykji rGR,739.8782757789172,777.3221256608317,PSYCHEDELIC_CLOUD_RAP,74,,P3tG6Qvrh3ZA8quyUV9TRSddwxi,CB8CveksSG8XcJHkIUNRxrs,39,768865.1086970543,19,2002-04-23,886.923088402173
RLFmt1wfHv0SqD,-808.7611009661169,159.59610223588606,PSYCHEDELIC_CLOUD_RAP,33,,VeS3Jh4FCI c7sPpJh7KkI11,LTubjhc7h0A,55,451196.1443326193,8,2013-08-14,226.60909398880702
qyWR4Nu6weZ7I,366.182086402177,879.2501447573788,BRIT_POP,88,15,iXeeDUA9q5GylY3GVqDBctw,4WYHgVqIeed8fQk,25,639905.1285053903,13,2011-05-22,849.1440057405033
OH8W8iJ4GHK,139.92831250166353,-750.747531234798,PUNK_ROCK,59,29,taQfAGLLOMK50IhWS7z0WbzebowsjnEmG89l2Ago22sRY,gptsyTLLp,1,664248.5918277274,4,2006-11-10,738.4618257806488
